Fecha,PM2.5 (ug/m³)
1/1/2022,16
1/2/2022,8
1/3/2022,6
1/4/2022,19
1/5/2022,15
1/6/2022,16
1/7/2022,21
1/8/2022,38
1/9/2022,25
1/10/2022,8
1/11/2022,9
1/12/2022,22
1/13/2022,24
1/14/2022,23
1/15/2022,18
1/16/2022,16
1/17/2022,17
1/18/2022,26
1/19/2022,16
1/20/2022,12
1/21/2022,28
1/22/2022,29
1/23/2022,16
1/24/2022,55
1/25/2022,16
1/26/2022,13
1/27/2022,18
1/28/2022,14
1/29/2022,11
1/30/2022,18
1/31/2022,17
2/1/2022,15
2/2/2022,25
2/3/2022,15
2/4/2022,11
2/5/2022,9
2/6/2022,23
2/7/2022,25
2/8/2022,12
2/9/2022,17
2/10/2022,18
2/11/2022,19
2/12/2022,18
2/13/2022,9
2/14/2022,16
2/15/2022,19
2/16/2022,23
2/17/2022,23
2/18/2022,10
2/19/2022,11
2/20/2022,17
2/21/2022,18
2/22/2022,15
2/23/2022,26
2/24/2022,23
2/25/2022,16
2/26/2022,40
2/27/2022,20
2/28/2022,14
3/1/2022,18
3/2/2022,20
3/3/2022,25
3/4/2022,18
3/5/2022,23
3/6/2022,28
3/7/2022,19
3/8/2022,15
3/9/2022,13
3/10/2022,18
3/11/2022,17
3/12/2022,8
3/13/2022,11
3/14/2022,19
3/15/2022,15
3/16/2022,15
3/17/2022,21
3/18/2022,23
3/19/2022,9
3/20/2022,11
3/21/2022,16
3/22/2022,14
3/23/2022,17
3/24/2022,10
3/25/2022,14
3/26/2022,29
3/27/2022,28
3/28/2022,25
3/29/2022,33
3/30/2022,45
3/31/2022,20
4/1/2022,18
4/2/2022,22
4/3/2022,22
4/4/2022,23
4/5/2022,22
4/6/2022,19
4/7/2022,10
4/8/2022,17
4/9/2022,25
4/10/2022,21
4/11/2022,15
4/12/2022,22
4/13/2022,18
4/14/2022,20
4/15/2022,27
4/16/2022,33
4/17/2022,26
4/18/2022,19
4/19/2022,11
4/20/2022,22
4/21/2022,24
4/22/2022,24
4/23/2022,17
4/24/2022,17
4/25/2022,22
4/26/2022,7
4/27/2022,6
4/28/2022,13
4/29/2022,20
4/30/2022,23
5/1/2022,19
5/2/2022,23
5/3/2022,25
5/4/2022,29
5/5/2022,31
5/6/2022,29
5/7/2022,24
5/8/2022,39
5/9/2022,42
5/10/2022,29
5/11/2022,14
5/12/2022,14
5/13/2022,18
5/14/2022,22
5/15/2022,13
5/16/2022,19
5/17/2022,20
5/18/2022,27
5/19/2022,26
5/20/2022,31
5/21/2022,35
5/22/2022,24
5/23/2022,15
5/24/2022,15
5/25/2022,17
5/26/2022,10
5/27/2022,28
5/28/2022,23
5/29/2022,20
5/30/2022,20
5/31/2022,21
6/1/2022,12
6/2/2022,6
6/3/2022,10
6/4/2022,12
6/5/2022,13
6/6/2022,17
6/7/2022,28
6/8/2022,31
6/9/2022,16
6/10/2022,17
6/11/2022,17
6/12/2022,25
6/13/2022,24
6/14/2022,23
6/15/2022,13
6/16/2022,32
6/17/2022,27
6/18/2022,13
6/19/2022,7
6/20/2022,8
6/21/2022,9
6/22/2022,13
6/23/2022,17
6/24/2022,18
6/25/2022,12
6/26/2022,11
6/27/2022,13
6/28/2022,13
6/29/2022,13
6/30/2022,17
7/1/2022,16
7/2/2022,23
7/3/2022,14
7/4/2022,12
7/5/2022,16
7/6/2022,18
7/7/2022,15
7/8/2022,14
7/9/2022,16
7/10/2022,10
7/11/2022, - - - - 
7/12/2022, - - - - 
7/13/2022, - - - - 
7/14/2022, - - - - 
7/15/2022, - - - - 
7/16/2022,22
7/17/2022,27
7/18/2022,23
7/19/2022,18
7/20/2022,25
7/21/2022,25
7/22/2022,19
7/23/2022,13
7/24/2022,12
7/25/2022,10
7/26/2022,12
7/27/2022,11
7/28/2022,12
7/29/2022,10
7/30/2022,14
7/31/2022,11
8/1/2022,10
8/2/2022,10
8/3/2022,15
8/4/2022,21
8/5/2022,21
8/6/2022,19
8/7/2022,13
8/8/2022,13
8/9/2022,12
8/10/2022,12
8/11/2022,10
8/12/2022,11
8/13/2022,10
8/14/2022,12
8/15/2022,20
8/16/2022,17
8/17/2022,16
8/18/2022,15
8/19/2022,16
8/20/2022,12
8/21/2022,12
8/22/2022,17
8/23/2022,12
8/24/2022,13
8/25/2022,14
8/26/2022,13
8/27/2022,15
8/28/2022,10
8/29/2022,13
8/30/2022,19
8/31/2022,8
9/1/2022,10
9/2/2022,8
9/3/2022,8
9/4/2022,8
9/5/2022,7
9/6/2022,16
9/7/2022,12
9/8/2022,10
9/9/2022,15
9/10/2022,15
9/11/2022,10
9/12/2022,12
9/13/2022,12
9/14/2022,10
9/15/2022,9
9/16/2022,10
9/17/2022,9
9/18/2022,8
9/19/2022,8
9/20/2022,11
9/21/2022,9
9/22/2022,11
9/23/2022,13
9/24/2022,16
9/25/2022,15
9/26/2022,13
9/27/2022,12
9/28/2022,12
9/29/2022,8
9/30/2022,8
10/1/2022,13
10/2/2022,10
10/3/2022,11
10/4/2022,11
10/5/2022,10
10/6/2022,13
10/7/2022,11
10/8/2022,7
10/9/2022,12
