date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2022,25.1,15.6,35.2,0,,288,8.7,,1005.4,
1/2/2022,14.1,5.2,22.1,0,,358,20.7,,1024.2,
1/3/2022,8.1,1.7,16.4,0,,80,7.6,,1030.5,
1/4/2022,11.8,3.3,22,0,,158,5.9,,1020.9,
1/5/2022,17.1,6.2,30,0,,270,6.9,,1012.7,
1/6/2022,18.6,9.1,30,0,,339,6.6,,1013.2,
1/7/2022,13.3,11.2,15.2,0.4,,61,10.8,,1018.8,
1/8/2022,16.3,10.7,23,0,,200,6.9,,1015.5,
1/9/2022,18.9,11.8,28.2,0,,334,9,,1020.3,
1/10/2022,12.9,10.8,17.1,0,,2,16.3,,1032.8,
1/11/2022,11.6,8.2,15.6,0,,66,7,,1031.2,
1/12/2022,11.8,5.6,19.2,0,,273,5.3,,1026.1,
1/13/2022,15.6,7,26,0,,354,5.5,,1022.1,
1/14/2022,17.8,8.6,28.4,0,,359,5.6,,1014.1,
1/15/2022,14.1,10.1,19.2,0,,337,18.6,,1020.1,
1/16/2022,11.4,4,20.4,0,,172,6.9,,1022.8,
1/17/2022,13.8,4.6,23.1,0,,55,8.2,,1018.8,
1/18/2022,15.8,7,27,0,,155,6.2,,1014.9,
1/19/2022,20.2,10.1,31.2,0,,323,6.2,,1012.7,
1/20/2022,12,5.8,16.8,0,,357,17.7,,1022.9,
1/21/2022,5.2,1.8,9.7,3.6,,30,12.5,,1028.5,
1/22/2022,5.3,2,8.6,1,,94,6.7,,1027.9,
1/23/2022,7.1,5.7,8.4,1,,167,5.5,,1024,
1/24/2022,9.6,6.6,13.6,5.1,,319,3.9,,1014.7,
1/25/2022,14.4,7.9,24.2,1.3,,68,7.5,,1015.3,
1/26/2022,12.2,10.2,14.8,0.2,,124,10.3,,1021.6,
1/27/2022,12.8,11.9,14.4,3,,119,7.3,,1021.8,
1/28/2022,10.5,7.9,12.9,6.2,,352,10.4,,1029.6,
1/29/2022,9.8,6.8,15.6,0,,102,6.9,,1029.5,
1/30/2022,11.3,3.7,21,0,,88,6.4,,1020.4,
1/31/2022,17.1,11.2,27.2,0,,314,6.9,,1012.6,
2/1/2022,17,9.9,26.8,0,,164,7,,1009.9,
2/2/2022,18.3,13.1,26.6,0,,109,7.4,,1005.9,
2/3/2022,9.9,4.2,17.5,0,,357,19.8,,1018.2,
2/4/2022,4.5,0.6,9.4,0,,331,14.3,,1035,
2/5/2022,5.4,-0.6,12.8,0,,62,7.3,,1033.1,
2/6/2022,8.8,1.7,17.2,1,,91,7.4,,1022,
2/7/2022,11.3,7.2,15.6,0.9,,333,8.8,,1027,
2/8/2022,10.6,2.9,19.6,0,,163,5.8,,1025.5,
2/9/2022,13,4.2,23,0,,84,7.3,,1020.1,
2/10/2022,14,8.1,20.8,0,,100,6.9,,1018.2,
2/11/2022,17,12.7,25,0.4,,139,8,,1015.2,
2/12/2022,15.8,8.7,21.1,0,,16,15.2,,1021.3,
2/13/2022,10.2,3.6,16.6,0,,56,7.4,,1032.3,
2/14/2022,12.2,4,21.2,0,,105,9.5,,1026,
2/15/2022,14.7,6.1,23.8,0,,119,9.5,,1019.6,
2/16/2022,18.9,10.4,29.2,0,,131,9.7,,1010.8,
2/17/2022,20.7,13.9,29.2,0,,16,11.9,,1012.2,
2/18/2022,13.3,7.4,19.4,0,,29,12.3,,1025.1,
2/19/2022,13.5,8.4,20.4,0,,114,9.2,,1026.2,
2/20/2022,16.1,9.9,24.2,0,,124,8.2,,1020,
2/21/2022,21.8,13.2,31,0,,158,7.4,,1012.2,
2/22/2022,25.6,14.8,36.4,0,,135,8.3,,1010.5,
2/23/2022,20.4,13.2,28.5,0,,95,8.6,,1014.2,
2/24/2022,14.8,8,22.6,0,,114,6.7,,1017.2,
2/25/2022,11.3,8.9,14.7,0.5,,8,12.4,,1025.1,
2/26/2022,10.4,7.2,17.5,0,,126,8.4,,1024.5,
2/27/2022,10.8,6.5,19,0,,354,9.3,,1028.1,
2/28/2022,12,4.8,21.4,0,,95,9.1,,1026.2,
3/1/2022,14.1,6.2,23.4,0,,115,7.9,,1021.8,
3/2/2022,15.8,10.4,23.2,0,,101,8.9,,1020,
3/3/2022,18.4,15.5,23.4,0.9,,109,8.7,,1019,
3/4/2022,20.5,17.1,27,0.3,,120,13.4,,1016.1,
3/5/2022,22,16.6,29.9,0.4,,116,9.9,,1011.9,
3/6/2022,23.4,17.1,31.4,0,,106,9.4,,1010.1,
3/7/2022,19.2,13.1,23.6,0,,10,15.3,,1015.1,
3/8/2022,14.5,8.1,21.6,0,,148,6.6,,1014.6,
3/9/2022,13.8,8.7,20.8,0,,110,7.6,,1015.1,
3/10/2022,16.1,6.5,25.6,0,,125,8.7,,1011.7,
3/11/2022,18.6,10.6,32.4,0,,353,16,,1012.7,
3/12/2022,10.9,5.3,15.5,0,,69,13.7,,1030.5,
3/13/2022,12.3,4.1,21,0,,122,11.8,,1022.9,
3/14/2022,18.2,7.8,28.1,0,,131,8.7,,1016.4,
3/15/2022,21.1,14.8,28.2,0,,3,9.8,,1021.1,
3/16/2022,21.1,11.2,29.8,0,,99,11.6,,1014.3,
3/17/2022,24.6,11.4,36.4,0,,281,8.9,,1005.5,
3/18/2022,21.9,15.9,28.2,0,,7,12.4,,1015.1,
3/19/2022,19,12.2,24.8,0,,118,13.4,,1020.3,
3/20/2022,19.5,12.6,28.2,0,,115,16.7,,1017.1,
3/21/2022,24.4,16.5,36,1,,98,12.5,,1004.1,
3/22/2022,22.9,14.6,30.4,0,,346,14.2,,1008.6,
3/23/2022,16.7,9.9,23,0,,348,6.7,,1017.7,
3/24/2022,18.4,7.9,28.2,0,,281,7.9,,1018.7,
3/25/2022,22.1,10.9,33.4,0,,101,9.1,,1017.5,
3/26/2022,23.3,13.4,32.4,0,,108,11.2,,1015.7,
3/27/2022,22.7,15.1,31.2,0,,118,11.8,,1013.3,
3/28/2022,23.1,13.8,32,0,,98,10.9,,1012.1,
3/29/2022,25.3,16.8,35.5,0,,125,12,,1004.9,
3/30/2022,26.5,18.9,35.4,0,,18,12.6,,1002.3,
3/31/2022,23.7,15.6,31.2,0,,97,9.8,,1008.6,
4/1/2022,22.9,16,30.5,0.4,,119,16.5,,1010.6,
4/2/2022,24.6,20,31,0.1,,117,11.5,,1012.9,
4/3/2022,24.6,19,30.8,0,,117,13.2,,1011,
4/4/2022,25.3,20,34,0.6,,120,12.3,,1003.9,
4/5/2022,28.7,19.9,39.2,0,,326,9.3,,1003,
4/6/2022,27.9,18.6,38.5,0,,338,13.1,,1006.5,
4/7/2022,21.7,16,27.4,0,,103,10.5,,1019.8,
4/8/2022,21.2,13.9,29,0,,110,16.1,,1020.4,
4/9/2022,22.5,14.4,31.8,0,,123,14.3,,1016.1,
4/10/2022,26.4,16.6,36.4,0,,118,10.2,,1006.6,
4/11/2022,29.4,19.2,38.2,0,,335,10.4,,1005,
4/12/2022,29.1,21.6,39.5,0,,143,7.7,,1004.6,
4/13/2022,30.3,20.1,39,0,,322,14.5,,1004.4,
4/14/2022,27.2,22.8,32.5,0.7,,95,14.2,,1009.8,
4/15/2022,26,21.8,33.5,2.7,,128,14.1,,1009.6,
4/16/2022,28,20.6,36.2,0,,123,10.1,,1009,
4/17/2022,29,22,36.5,0.3,,109,7.1,,1008.6,
4/18/2022,26.7,23.4,30.6,2,,114,12.1,,1014.6,
4/19/2022,24.7,20.8,31.5,4.2,,121,23.8,,1013.9,
4/20/2022,25.1,19.6,31.7,0,,112,12.2,,1010.2,
4/21/2022,26.2,21.8,33.2,0.1,,115,14.8,,1012.9,
4/22/2022,25.9,20.6,33.2,1.6,,121,23.3,,1014,
4/23/2022,26.1,21,33.9,0,,124,19.8,,1009.1,
4/24/2022,27,21.4,34.2,0,,123,16.6,,1006.4,
4/25/2022,24.6,19.6,29.4,18.5,,118,11.5,,1011.1,
4/26/2022,21.3,18.2,25,11.6,,27,9.7,,1020.3,
4/27/2022,21.9,18.2,28,0.9,,123,12.9,,1018.5,
4/28/2022,23.4,19.6,32.6,0.5,,121,14.5,,1012.2,
4/29/2022,24.4,20.5,30.1,0,,120,12.4,,1007.4,
4/30/2022,25.8,21,33.4,0.2,,112,11.6,,1007.4,
5/1/2022,26,21.8,32.4,1.6,,122,20.9,,1008.8,
5/2/2022,27.6,22.6,36.2,0,,121,13.9,,1007.1,
5/3/2022,27.8,21.6,35,0,,118,13,,1008.2,
5/4/2022,28.2,23.6,34.9,0.3,,121,17,,1006.8,
5/5/2022,29.1,23.2,37.4,0,,123,9.8,,1007.2,
5/6/2022,29.5,24.5,37.2,0,,118,9.7,,1009.9,
5/7/2022,30.7,22.4,39.8,0,,135,9,,1006.4,
5/8/2022,31.2,22.5,40.4,0,,120,11.4,,1002.8,
5/9/2022,30.5,24.4,37.8,0,,118,11.1,,1004.6,
5/10/2022,29.3,25.2,36.2,0.6,,118,17.4,,1010.4,
5/11/2022,28,23.6,35.4,0,,117,18.5,,1014.5,
5/12/2022,27.9,22.4,36.4,0,,117,15.2,,1012.7,
5/13/2022,27.8,22.1,36.4,0,,117,13.6,,1009.7,
5/14/2022,27.7,22,35.6,0,,116,12.4,,1011.2,
5/15/2022,28.4,20.6,37.8,0,,117,10,,1011.7,
5/16/2022,29.6,20.9,38.7,0,,129,10.3,,1010.8,
5/17/2022,29.8,22.1,39.5,0,,120,13,,1010.3,
5/18/2022,29.4,22.8,37,0,,122,11.2,,1009.2,
5/19/2022,29.8,22.4,38.6,0.1,,113,10.7,,1005.4,
5/20/2022,31.9,22,42.4,0,,161,11.9,,1000.8,
5/21/2022,31.8,22.5,40.2,0,,141,8.7,,1005.1,
5/22/2022,26,22.1,31.6,16.6,,108,10.1,,1014,
5/23/2022,24.6,20.6,32.2,22.3,,110,17.6,,1011.5,
